대해구 번호,경도,위도
870,134.75,26.75
871,130.25,26.25
872,130.75,26.25
873,131.25,26.25
874,131.75,26.25
875,132.25,26.25
876,132.75,26.25
877,133.25,26.25
878,133.75,26.25
879,134.25,26.25
880,134.75,26.25
881,130.25,25.75
882,130.75,25.75
883,131.25,25.75
884,131.75,25.75
885,132.25,25.75
886,132.75,25.75
887,133.25,25.75
888,133.75,25.75
889,134.25,25.75
890,134.75,25.75
891,130.25,25.25
892,130.75,25.25
893,131.25,25.25
894,131.75,25.25
895,132.25,25.25
896,132.75,25.25
897,133.25,25.25
898,133.75,25.25
899,134.25,25.25
900,134.75,25.25
901,134.25,35.75
902,134.75,35.75
903,135.25,35.75
904,135.75,35.75
905,134.25,36.25
906,134.75,36.25
907,135.25,36.25
908,135.75,36.25
909,136.25,36.25
910,134.25,36.75
911,134.75,36.75
912,135.25,36.75
913,135.75,36.75
914,136.25,36.75
915,136.75,36.75
916,134.25,37.25
917,134.75,37.25
918,135.25,37.25
919,135.75,37.25
920,136.25,37.25
921,136.75,37.25
922,137.25,37.25
923,137.75,37.25
924,134.25,37.75
925,134.75,37.75
926,135.25,37.75
927,135.75,37.75
928,136.25,37.75
929,136.75,37.75
930,137.25,37.75
931,137.75,37.75
932,134.25,38.25
933,134.75,38.25
934,135.25,38.25
935,135.75,38.25
936,136.25,38.25
937,136.75,38.25
938,137.25,38.25
939,137.75,38.25
940,134.25,38.75
941,134.75,38.75
942,135.25,38.75
943,135.75,38.75
944,136.25,38.75
945,136.75,38.75
946,137.25,38.75
947,137.75,38.75
948,134.25,39.25
949,134.75,39.25
950,135.25,39.25
951,135.75,39.25
952,136.25,39.25
953,136.75,39.25
954,137.25,39.25
955,137.75,39.25
956,134.25,39.75
957,134.75,39.75
958,135.25,39.75
959,135.75,39.75
960,136.25,39.75
961,136.75,39.75
962,137.25,39.75
963,137.75,39.75
964,134.25,40.25
965,134.75,40.25
966,135.25,40.25
967,135.75,40.25
968,136.25,40.25
969,136.75,40.25
970,137.25,40.25
971,137.75,40.25
972,134.25,40.75
973,134.75,40.75
974,135.25,40.75
975,135.75,40.75
976,136.25,40.75
977,136.75,40.75
978,137.25,40.75
979,137.75,40.75
980,134.25,41.25
981,134.75,41.25
982,135.25,41.25
983,135.75,41.25
984,136.25,41.25
985,136.75,41.25
986,137.25,41.25
987,137.75,41.25
988,134.25,41.75
989,134.75,41.75
990,135.25,41.75
991,135.75,41.75
992,136.25,41.75
993,136.75,41.75
994,137.25,41.75
995,137.75,41.75
996,134.25,42.25
997,134.75,42.25
998,135.25,42.25
999,135.75,42.25
1000,136.25,42.25
1001,136.75,42.25
1002,137.25,42.25
1003,137.75,42.25
1004,134.25,42.75
1005,134.75,42.75
1006,135.25,42.75
1007,135.75,42.75
1008,136.25,42.75
1009,136.75,42.75
1010,137.25,42.75
1011,137.75,42.75
1237,138.25,42.75
1238,138.75,42.75
1239,139.25,42.75
1240,139.75,42.75
1247,138.25,42.25
1248,138.75,42.25
1249,139.25,42.25
1250,139.75,42.25
1261,138.25,41.75
1262,138.75,41.75
1263,139.25,41.75
1264,139.75,41.75
1275,138.25,41.25
1276,138.75,41.25
1277,139.25,41.25
1278,139.75,41.25
1289,138.25,40.75
1290,138.75,40.75
1291,139.25,40.75
1292,139.75,40.75
1303,138.25,40.25
1304,138.75,40.25
1305,139.25,40.25
1306,139.75,40.25
1314,138.25,39.75
1315,138.75,39.75
1316,139.25,39.75
1317,139.75,39.75
1325,138.25,39.25
1326,138.75,39.25
1327,139.25,39.25
1328,139.75,39.25
1336,138.25,38.75
1337,138.75,38.75
1338,139.25,38.75
1339,139.75,38.75
1347,138.25,38.25
1348,138.75,38.25
1349,139.25,38.25
1358,138.25,37.75
1359,138.75,37.75
1368,138.25,37.25
1432,138.25,34.25
1433,138.75,34.25
1434,139.25,34.25
1435,139.75,34.25
1446,138.25,33.75
1447,138.75,33.75
1448,139.25,33.75
1449,139.75,33.75
1460,138.25,33.25
1461,138.75,33.25
1462,139.25,33.25
1463,139.75,33.25
1474,138.25,32.75
1475,138.75,32.75
1476,139.25,32.75
1477,139.75,32.75
1488,138.25,32.25
1489,138.75,32.25
1490,139.25,32.25
1491,139.75,32.25
1502,138.25,31.75
1503,138.75,31.75
1504,139.25,31.75
1505,139.75,31.75
1516,138.25,31.25
1517,138.75,31.25
1518,139.25,31.25
1519,139.75,31.25
